"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","value","task","sentence_first","sentence_second","presentation_index","rt_ms","sentence","catch_index","sentence_position","catch_type","response_label","correct_response","correct"
"92198","
      <div class=""instructions"">
        <h2>Expérience de lecture avec suivi eye-tracker</h2>
        <p>Cette expérience enregistre les mouvements de vos yeux pendant que vous lisez des phrases.</p>
        <p><strong>Avant de commencer :</strong> Asseyez-vous confortablement à environ 60 cm de l'écran</p>
        <p>Cliquez sur la touche <strong>ESPACE</strong> pour continuer.</p>
      </div>
    "," ","html-keyboard-response","0","92196","0.0-0.0","","","","","","","","","","","","",""
"","","","call-function","1","92199","0.0-1.0","{""success"":true}","","","","","","","","","","","",""
"10652","
      <div class=""instructions"">
        <h2>Calibration</h2>
        <p>Un écran de calibration apparaîtra dans la fenêtre.</p>
        <p>Suivez le point en mouvement avec vos yeux (sans bouger la tête) et sans prédire où il va.</p>
        <p>Puis un écran apparaîtra, dans lequel vous pouvez vérifier si le point vert suit votre regard sur l'écran.</p>
        <p>Si la calibration échoue, une deuxième tentative sera effectuée.</p>
        <p>Appelez l'administrateur si vous recontrez des problèmes.</p>
        <p>Appuyez sur la touche <strong>ESPACE</strong> pour lancer la calibration et attendez 2 secondes.</p>
      </div>
    "," ","html-keyboard-response","2","102852","0.0-2.0","","","","","","","","","","","","",""
"","","","call-function","3","117852","0.0-3.0","","","","","","","","","","","","",""
"22103","
      <div class=""instructions"">
        <h2>L'expérience va commencer</h2>
        <p>Lorsque vous avez terminé de lire, appuyez sur la touche <strong>ESPACE</strong> pour passer aux phrases suivantes.</p>
        <p>Entre les phrases, un point de fixation apparaîtra au centre de l'écran pendant 2 secondes. Veuillez le regarder jusqu'à ce que la phrase suivante s'affiche.</p>
        <p>Il y aura 4 pauses au cours de l'expérience. Vous pourrez vous détendre un instant avant de poursuivre avec une nouvelle calibration.</p>
        <p>Des questions vous seront également posées, auxquelles vous répondrez en utilisant les flèches du clavier.</p>
        <p>Appuyez sur la touche <strong>ESPACE</strong> lorsque vous êtes prêt(e) à commencer.</p>
      </div>
    "," ","html-keyboard-response","4","139955","0.0-4.0","","","","","","","","","","","","",""
"","","","call-function","5","139956","0.0-5.0","","","","","","","","","","","","",""
"","","","call-function","6","139956","0.0-6.0","","","","","","","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","7","141957","0.0-7.0-0.0","","","","","","","","","","","","",""
"7246","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un rendez-vous avec son dentiste.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Julie remercie le réceptionniste pour ce rappel.</div>
          </div>
        "," ","html-keyboard-response","8","149203","0.0-7.0-1.0","","reading","Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un rendez-vous avec son dentiste.","Julie remercie le réceptionniste pour ce rappel.","0","7246","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","9","151203","0.0-7.0-2.0","","","","","","","","","","","","",""
