"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","value","task","sentence_first","sentence_second","presentation_index","rt_ms","sentence","catch_index","sentence_position","catch_type","response_label","correct_response","correct"
"21898","
      <div class=""instructions"">
        <h2>Expérience de lecture avec suivi eye-tracker</h2>
        <p>Cette expérience enregistre les mouvements de vos yeux pendant que vous lisez des phrases.</p>
        <p><strong>Avant de commencer :</strong> Asseyez-vous confortablement à environ 60 cm de l'écran</p>
        <p>Cliquez sur la touche <strong>ESPACE</strong> pour continuer.</p>
      </div>
    "," ","html-keyboard-response","0","21899","0.0-0.0","","","","","","","","","","","","",""
"","","","call-function","1","21902","0.0-1.0","{""success"":true}","","","","","","","","","","","",""
"19196","
      <div class=""instructions"">
        <h2>Calibration</h2>
        <p>Un écran de calibration apparaîtra dans la fenêtre.</p>
        <p>Suivez le point en mouvement avec vos yeux (sans bouger la tête) et sans prédire où il va.</p>
        <p>Puis un écran apparaîtra, dans lequel vous pouvez vérifier si le point vert suit votre regard sur l'écran.</p>
        <p>Si la calibration échoue, une deuxième tentative sera effectuée.</p>
        <p>Appelez l'administrateur si vous recontrez des problèmes.</p>
        <p>Appuyez sur la touche <strong>ESPACE</strong> pour lancer la calibration et attendez 2 secondes.</p>
      </div>
    "," ","html-keyboard-response","2","41098","0.0-2.0","","","","","","","","","","","","",""
"","","","call-function","3","62626","0.0-3.0","","","","","","","","","","","","",""
"28629","
      <div class=""instructions"">
        <h2>L'expérience va commencer</h2>
        <p>Lorsque vous avez terminé de lire, appuyez sur la touche <strong>ESPACE</strong> pour passer aux phrases suivantes.</p>
        <p>Entre les phrases, un point de fixation apparaîtra au centre de l'écran pendant 2 secondes. Veuillez le regarder jusqu'à ce que la phrase suivante s'affiche.</p>
        <p>Il y aura 4 pauses au cours de l'expérience. Vous pourrez vous détendre un instant avant de poursuivre avec une nouvelle calibration.</p>
        <p>Des questions vous seront également posées, auxquelles vous répondrez en utilisant les flèches du clavier.</p>
        <p>Appuyez sur la touche <strong>ESPACE</strong> lorsque vous êtes prêt(e) à commencer.</p>
      </div>
    "," ","html-keyboard-response","4","91255","0.0-4.0","","","","","","","","","","","","",""
"","","","call-function","5","91256","0.0-5.0","","","","","","","","","","","","",""
"","","","call-function","6","91256","0.0-6.0","","","","","","","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","7","93257","0.0-7.0-0.0","","","","","","","","","","","","",""
"13006","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Eva planifie un city-trip à San Francisco.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle voudrait trouver un vol pas cher.</div>
          </div>
        "," ","html-keyboard-response","8","106263","0.0-7.0-1.0","","reading","Eva planifie un city-trip à San Francisco.","Elle voudrait trouver un vol pas cher.","0","13006","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","9","108263","0.0-7.0-2.0","","","","","","","","","","","","",""
"7087","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Jeanne fait des activités touristiques.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">Elle prend beaucoup de selfies.</div>
          </div>
        "," ","html-keyboard-response","10","115351","0.0-7.0-3.0","","reading","Jeanne fait des activités touristiques.","Elle prend beaucoup de selfies.","1","7087","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","11","117351","0.0-7.0-4.0","","","","","","","","","","","","",""
"20895","
          <div class=""sentence-container"">
            <div class=""sentence-text"">Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. Elle poursuit, confuse, en criant que quelque chose d'horrible vient d'arriver au centre-ville.</div>
            <hr class=""sentence-divider"">
            <div class=""sentence-text"">La mère d'Elena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.</div>
          </div>
        "," ","html-keyboard-response","12","138244","0.0-7.0-5.0","","reading","Elena est de sortie en ville lorsque sa mère l'appelle en panique pour lui demander si elle est bien en sécurité. Elle poursuit, confuse, en criant que quelque chose d'horrible vient d'arriver au centre-ville.","La mère d'Elena lui dit qu'il y a eu une attaque à la bombe et qu'elle doit rentrer à la maison le plus vite possible.","2","20895","","","","","","",""
"null","<div style=""font-size:80px;text-align:center;"">+</div>","null","html-keyboard-response","13","140245","0.0-7.0-6.0","","","","","","","","","","","","",""
