first,second
Julie reçoit un appel de l'hôpital pour lui rappeler qu'elle a un rendez-vous avec son dentiste.,Julie remercie le réceptionniste pour ce rappel.
Une personne toque à la porte de Jim et dépose un colis inattendu.,"Jim ouvre sa porte, curieux, mais en prenant le colis entre ses mains, il réalise qu'il est destiné à son voisin."
Alexandra aimerait adopter un chat et elle espère en trouver un au refuge.,Mais elle est inquiète car son chien a mauvais caractère et il pourrait mal réagir à l'arrivée d'un chaton à la maison.
"Clara est au centre-ville lorsque son père l'appelle, inquiet, en demandant si elle va bien car une fusillade a éclaté à la gare.",Clara essaie de le calmer et lui dit de la lâcher un peu. Il exagère toujours.
Karl est avec un ami lorsqu'ils croisent une fille avec qui ils ont passé la soirée il y a quelques semaines. Karl s'efforce de se rappeler son prénom mais n'y parvient pas.,Il continue de discuter avec elle comme si de rien n'était.
Mara est dans ses pensées lorsque l'avion dans lequel elle voyage perd de l'altitude violemment. Tout le monde commence à hurler.,L'hôtesse de l'air la plus proche s'évanouit.
Quelqu'un toque à la porte de Pierre et dépose un colis inattendu.,Pierre ouvre le colis et découvre un parfum offert par sa copine Sara.
Nick reçoit un message de sa maman qui lui dit qu'elle a préparé un bon repas pour lui.,"Nick rentre avec hâte à la maison et découvre qu'elle lui a fait une pizza, son plat préféré."
Lukas a un nouveau 'match' sur Tinder.,Il ouvre l'application et découvre que c'est la jolie fille qu'il avait 'superlikée' plus tôt dans la journée.
Ivan adore faire du voilier.,Il part souvent en navigation pendant l'été.
La maman de Kevin lui envoie un message en lui demandant ce qu'il voudrait manger pour le dîner.,Il lui répond qu'il aimerait des lasagnes.
Theo prend l'avion pour partir en vacances.,Il a préparé une grande valise avec tous ses habits préférés.
"Mike est dans un supermarché lorsqu'un homme cagoulé et armé crie: 'Tout le monde au sol, ceci est un hold-up !'",Les jambes de Mike commencent à trembler.
Kim veut partir en voyage mais elle ne sait pas encore où aller. Elle commence à regarder des destinations sur Google.,Elle voit qu'il y a des vols pas chers pour Venise ce week-end et elle en réserve un immédiatement.
Bertrand a joué à la loterie en utilisant ses numéros favoris pour tenter de gagner le jackpot de 4 000 000 €.,"Il essaie de regarder le tirage de la loterie à la télé, mais il n'y a pas de signal."
Olivia fait un tour touristique lorsque quelque chose de mouillé tombe sur sa tête.,Elle touche ses cheveux et comprend qu'un pigeon lui a déféqué dessus.
C'est la veille du Nouvel An et Mike entend des feux d'artifice toute la nuit.,Il met des bouchons d'oreilles pour dormir.
Soline a travaillé d'arrache-pied sur son devoir le mois passé. Elle se rend en classe et espère recevoir une très bonne note.,Son professeur lui dit qu'il n'a pas encore fini de corriger les devoirs.
Tyler adore les sneakers.,Il décide d'en acheter une nouvelle paire.
"Matéo est en retard pour aller au travail lorsque son téléphone sonne. Ça alors ! On l'appelle toujours au mauvais moment ! Il décroche, nerveux, et une voix froide lui dit qu'un de ses proches a été admis en réanimation à l'hôpital.",La voix dit à Matéo que son frère vient d'avoir un grave accident de voiture.
Simon est en train de courir pour attraper son bus lorsque son téléphone sonne. Une voix glaciale lui dit qu'un de ses proches a eu un accident.,Simon s'arrête et le bus lui file sous le nez. Il demande qui est à l'appareil mais la ligne se coupe.
Laura aimerait adopter un chaton.,Elle va sur Internet pour trouver un refuge.
Ava a acheté un nouveau sac à main de luxe et elle a hâte de le montrer à ses copines.,Ava est très satisfaite de son achat et elle s'entraîne à défiler avec dans son salon comme le font les stars.
Connor attend son métro en espérant qu'il ne sera pas trop rempli.,"Le métro qui arrive en station déborde de gens, Connor arrive à s'y glisser avec difficulté mais il a du mal à respirer."
Il est 4 heures du matin et Mike s'apprête à aller dormir lorsque soudain il entend un homme crier 'Adieu monde cruel' suivi d'un bruit sourd.,"Le souffle coupé, il se lève pour se rapprocher de sa fenêtre. Il a à peine le temps de se frotter les paupières qu'il voit son voisin étendu à terre, inerte."
"Robbie se dirige vers le rencard que son meilleur ami lui a arrangé. Selon ce dernier, la fille qu'il va lui présenter est magnifique.","En allant au rendez-vous, Robbie est très anxieux et il transpire beaucoup comme à son habitude."
Mady fait la fête au centre-ville.,Elle voit beaucoup de personnes qui consomment de l'alcool.
Sara marche vers chez elle au milieu de la nuit.,Des voitures passent le long de la rue.
"Comme chaque matin, Sara se balade dans son quartier lorsqu'elle entend quelqu'un chanter bruyamment.","Elle regarde derrière elle pour comprendre d'où vient cette voix, mais ne voit que des enfants aux alentours."
"Il est 3 heures du matin et Selma marche vers chez elle. Soudain, elle entend une femme crier et une voiture arriver en trombe.",Selma a à peine le temps de comprendre ce qu'il arrive que la voiture la percute. Elle décède sur le coup.
Lena fait son jogging dans un parc.,Elle croise beaucoup de gens qui font des pique-niques.
"La valise de Marco, contenant tous ses habits favoris, a été perdue lors de son voyage en avion.",Marco reçoit un appel de la compagnie aérienne lui disant qu'ils sont dans l'incapacité de trouver sa valise et qu'il sera remboursé à la hauteur de 300 euros pour les dommages occasionnés.
